# Data Source	World Development Indicators
# Last Updated Date	30.01.2019
# 
Name	Code	PrevalenceDiabetes_2017
Kazakhstan	KAZ	7.11
Kenya	KEN	2.92
Kyrgyz Republic	KGZ	7.11
Cambodia	KHM	4
Kiribati	KIR	22.66
St. Kitts and Nevis	KNA	12.84
Korea, Rep.	KOR	6.8
Kuwait	KWT	15.84
Latin America & Caribbean (excluding high income)	LAC	8.956255812
Lao PDR	LAO	4
Lebanon	LBN	12.71
Liberia	LBR	2.42
Libya	LBY	10.43
St. Lucia	LCA	11.62
Latin America & Caribbean	LCN	8.722751287
Least developed countries: UN classification	LDC	6.275067304
Low income	LIC	5.400122796
Liechtenstein	LIE	7.77
Sri Lanka	LKA	10.68
Lower middle income	LMC	8.710050297
Low & middle income	LMY	8.659333009
Lesotho	LSO	3.94
Late-demographic dividend	LTE	9.003640266
Lithuania	LTU	3.67
Luxembourg	LUX	4.42
Latvia	LVA	4.91
Macao SAR, China	MAC	
St. Martin (French part)	MAF	
Morocco	MAR	7.14
Monaco	MCO	5.46
Moldova	MDA	5.72
Madagascar	MDG	3.94
Maldives	MDV	9.19
Middle East & North Africa	MEA	11.42826239
Mexico	MEX	13.06
Marshall Islands	MHL	30.53
Middle income	MIC	8.995414525
Macedonia, FYR	MKD	10.08
Mali	MLI	2.42
Malta	MLT	8.83
Myanmar	MMR	4.61
Middle East & North Africa (excluding high income)	MNA	10.63120971
Montenegro	MNE	10.08
Mongolia	MNG	4.82
Northern Mariana Islands	MNP	
Mozambique	MOZ	3.3
Mauritania	MRT	2.42
Mauritius	MUS	22.02
Malawi	MWI	3.94
Malaysia	MYS	16.74
North America	NAC	10.43256066
Namibia	NAM	3.94
New Caledonia	NCL	23.36
Niger	NER	2.42
Nigeria	NGA	2.42
Nicaragua	NIC	11.47
Netherlands	NLD	5.29
Norway	NOR	5.31
Nepal	NPL	7.26
Nauru	NRU	24.07
New Zealand	NZL	8.08
OECD members	OED	8.207270673
Oman	OMN	12.61
Other small states	OSS	8.309746004
Pakistan	PAK	8.35
Panama	PAN	8.33
Peru	PER	5.95
Philippines	PHL	7.07
Palau	PLW	15.89
Papua New Guinea	PNG	17.65
Poland	POL	5.91
Pre-demographic dividend	PRE	4.872167869
Puerto Rico	PRI	12.9
Korea, Dem. People’s Rep.	PRK	4
Portugal	PRT	9.85
Paraguay	PRY	8.27
West Bank and Gaza	PSE	10.59
Pacific island small states	PSS	15.12670822
Post-demographic dividend	PST	7.505684008
French Polynesia	PYF	22.63
Qatar	QAT	16.52
Romania	ROU	9.74
Russian Federation	RUS	6.18
Rwanda	RWA	4.28
South Asia	SAS	9.937835043
Saudi Arabia	SAU	17.72
Sudan	SDN	15.67
Senegal	SEN	2.42
Singapore	SGP	10.99
Solomon Islands	SLB	18.68
Sierra Leone	SLE	2.42
El Salvador	SLV	8.87
San Marino	SMR	5.64
Somalia	SOM	6.05
Serbia	SRB	10.08
Sub-Saharan Africa (excluding high income)	SSA	4.847184939
South Sudan	SSD	10.43
Sub-Saharan Africa	SSF	4.84788374
Small states	SST	9.367269907
Sao Tome and Principe	STP	2.42
Suriname	SUR	12.54
Slovak Republic	SVK	7.29
Slovenia	SVN	7.25
Sweden	SWE	4.79
Eswatini	SWZ	3.94
Sint Maarten (Dutch part)	SXM	
Seychelles	SYC	10.55
Syrian Arab Republic	SYR	8.23
Turks and Caicos Islands	TCA	
Chad	TCD	6.1
East Asia & Pacific (IDA & IBRD countries)	TEA	8.901650928
Europe & Central Asia (IDA & IBRD countries)	TEC	7.705083972
Togo	TGO	6.15
Thailand	THA	7.04
Tajikistan	TJK	7.11
Turkmenistan	TKM	7.11
Latin America & the Caribbean (IDA & IBRD countries)	TLA	8.700367728
Timor-Leste	TLS	6.86
Middle East & North Africa (IDA & IBRD countries)	TMN	10.63166132
Tonga	TON	15.42
South Asia (IDA & IBRD)	TSA	9.937835043
Sub-Saharan Africa (IDA & IBRD countries)	TSS	4.84788374
Trinidad and Tobago	TTO	10.97
Tunisia	TUN	8.52
Turkey	TUR	12.13
Tuvalu	TUV	27.25
Tanzania	TZA	5.75
Uganda	UGA	2.5
Ukraine	UKR	7.11
Upper middle income	UMC	9.283963921
Uruguay	URY	6.93
United States	USA	10.79
Uzbekistan	UZB	7.57
St. Vincent and the Grenadines	VCT	11.62
Venezuela, RB	VEN	6.47
British Virgin Islands	VGB	13.67
Virgin Islands (U.S.)	VIR	12.26
Vietnam	VNM	6
Vanuatu	VUT	12.02
World	WLD	8.509629683
Samoa	WSM	9.21
Kosovo	XKX	
Yemen, Rep.	YEM	5.35
South Africa	ZAF	5.52
Zambia	ZMB	3.94
Zimbabwe	ZWE	1.82
